Container, 0, 0, 0, 0.046339, 0.046339, 0
Container, 0, MPI, 0, 0.046339, 0.046339, rank-8
State, rank-8, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-8, MPI_STATE, 0.000000, 0.032235, 0.032235, 0.000000, PMPI_Allreduce
State, rank-8, MPI_STATE, 0.032235, 0.046339, 0.014104, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.046339, 0.046339, rank-7
State, rank-7, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-7, MPI_STATE, 0.000000, 0.030221, 0.030221, 0.000000, PMPI_Allreduce
State, rank-7, MPI_STATE, 0.030221, 0.046339, 0.016118, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.046339, 0.046339, rank-6
State, rank-6, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-6, MPI_STATE, 0.000000, 0.028206, 0.028206, 0.000000, PMPI_Allreduce
State, rank-6, MPI_STATE, 0.028206, 0.046339, 0.018133, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.046339, 0.046339, rank-5
State, rank-5, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-5, MPI_STATE, 0.000000, 0.026191, 0.026191, 0.000000, PMPI_Allreduce
State, rank-5, MPI_STATE, 0.026191, 0.046339, 0.020148, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.046339, 0.046339, rank-4
State, rank-4, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-4, MPI_STATE, 0.000000, 0.024177, 0.024177, 0.000000, PMPI_Allreduce
State, rank-4, MPI_STATE, 0.024177, 0.046339, 0.022162, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.046339, 0.046339, rank-3
State, rank-3, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-3, MPI_STATE, 0.000000, 0.022162, 0.022162, 0.000000, PMPI_Allreduce
State, rank-3, MPI_STATE, 0.022162, 0.046339, 0.024177, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.046339, 0.046339, rank-2
State, rank-2, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-2, MPI_STATE, 0.000000, 0.020147, 0.020147, 0.000000, PMPI_Allreduce
State, rank-2, MPI_STATE, 0.020147, 0.046339, 0.026192, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.046339, 0.046339, rank-1
State, rank-1, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-1, MPI_STATE, 0.000000, 0.018132, 0.018132, 0.000000, PMPI_Allreduce
State, rank-1, MPI_STATE, 0.018132, 0.046339, 0.028207, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.046339, 0.046339, rank-15
State, rank-15, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-15, MPI_STATE, 0.000000, 0.046339, 0.046339, 0.000000, PMPI_Allreduce
State, rank-15, MPI_STATE, 0.046339, 0.046339, 0.000000, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.046339, 0.046339, rank-14
State, rank-14, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-14, MPI_STATE, 0.000000, 0.044324, 0.044324, 0.000000, PMPI_Allreduce
State, rank-14, MPI_STATE, 0.044324, 0.046339, 0.002015, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.046339, 0.046339, rank-13
State, rank-13, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-13, MPI_STATE, 0.000000, 0.042309, 0.042309, 0.000000, PMPI_Allreduce
State, rank-13, MPI_STATE, 0.042309, 0.046339, 0.004030, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.046339, 0.046339, rank-12
State, rank-12, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-12, MPI_STATE, 0.000000, 0.040294, 0.040294, 0.000000, PMPI_Allreduce
State, rank-12, MPI_STATE, 0.040294, 0.046339, 0.006045, 0.000000, PMPI_Finalize
